agency,budget_type,appropriation_id,enacted_amount,enacted_type,text,page,description,year
EDUCATION DEPARTMENT,AID TO LOCALITIES,21762,96000000.0,appropriation,"17 er to accrue (21762) ........................ 96,000,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,21762,96000000.0,appropriation,"17 er to accrue (21762) ........................ 96,000,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,21762,96000000.0,appropriation,"17 er to accrue (21762) ........................ 96,000,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,56043,12000000.0,appropriation,"19 City School District (56043) ................ 12,000,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,56043,12000000.0,appropriation,"19 City School District (56043) ................ 12,000,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,56043,12000000.0,appropriation,"19 City School District (56043) ................ 12,000,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,56109,2000000.0,appropriation,"21 Union Free School District (56109) ........... 2,000,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,56109,2000000.0,appropriation,"21 Union Free School District (56109) ........... 2,000,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,56109,2000000.0,appropriation,"21 Union Free School District (56109) ........... 2,000,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,23328,175000.0,appropriation,"23 Union Free School District (23328) ............. 175,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,23328,175000.0,appropriation,"23 Union Free School District (23328) ............. 175,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,23328,175000.0,appropriation,"23 Union Free School District (23328) ............. 175,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,56042,175000.0,appropriation,"25 Union Free School District (56042) ............. 175,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,56042,175000.0,appropriation,"25 Union Free School District (56042) ............. 175,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,56042,175000.0,appropriation,"25 Union Free School District (56042) ............. 175,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,23329,175000.0,appropriation,"27 City School District (23329) ................... 175,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,23329,175000.0,appropriation,"27 City School District (23329) ................... 175,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,23329,175000.0,appropriation,"27 City School District (23329) ................... 175,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,55949,225000.0,appropriation,"29 Central School District (55949) ................ 225,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,55949,225000.0,appropriation,"29 Central School District (55949) ................ 225,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,55949,225000.0,appropriation,"29 Central School District (55949) ................ 225,000",286,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,55907,190000000.0,appropriation,"12 education law (55907) ...................... 190,000,000",288,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,55907,190000000.0,appropriation,"12 education law (55907) ...................... 190,000,000",288,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,55907,190000000.0,appropriation,"12 education law (55907) ...................... 190,000,000",288,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,55971,145000000.0,appropriation,"16 3602 of the education law (55971) .......... 145,000,000",288,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,55971,145000000.0,appropriation,"16 3602 of the education law (55971) .......... 145,000,000",288,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,55971,145000000.0,appropriation,"16 3602 of the education law (55971) .......... 145,000,000",288,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,23445,14974000.0,appropriation,"31 (23445) ..................................... 14,974,000",293,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,23445,14974000.0,appropriation,"31 (23445) ..................................... 14,974,000",293,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,23445,14974000.0,appropriation,"31 (23445) ..................................... 14,974,000",293,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,21702,340000000.0,appropriation,"22 lished by this appropriation. (21702) ...... 340,000,000",294,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,21702,340000000.0,appropriation,"22 lished by this appropriation. (21702) ...... 340,000,000",294,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,21702,340000000.0,appropriation,"22 lished by this appropriation. (21702) ...... 340,000,000",294,Enacted appropriation should appear as reappropriation in executive budget,2020
EDUCATION DEPARTMENT,AID TO LOCALITIES,23384,1900000.0,appropriation,"40 year expenses (23384) ........................ 1,900,000",295,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23384,1900000.0,appropriation,"40 year expenses (23384) ........................ 1,900,000",295,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23384,1900000.0,appropriation,"40 year expenses (23384) ........................ 1,900,000",295,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55965,1000000.0,appropriation,"12 funds appropriated herein (55965) ............ 1,000,000",296,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55965,1000000.0,appropriation,"12 funds appropriated herein (55965) ............ 1,000,000",296,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55965,1000000.0,appropriation,"12 funds appropriated herein (55965) ............ 1,000,000",296,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,21705,93700000.0,appropriation,"11 credits (21705) ............................. 93,700,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,21705,93700000.0,appropriation,"11 credits (21705) ............................. 93,700,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,21705,93700000.0,appropriation,"11 credits (21705) ............................. 93,700,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55909,19700000.0,appropriation,"21 age of the schools' FTE enrollment (55909) .. 19,700,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55909,19700000.0,appropriation,"21 age of the schools' FTE enrollment (55909) .. 19,700,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55909,19700000.0,appropriation,"21 age of the schools' FTE enrollment (55909) .. 19,700,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55934,903000.0,appropriation,"35 year (55934) ................................... 903,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55934,903000.0,appropriation,"35 year (55934) ................................... 903,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55934,903000.0,appropriation,"35 year (55934) ................................... 903,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55934,903000.0,appropriation,"41 year (55934) ................................... 903,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55934,903000.0,appropriation,"41 year (55934) ................................... 903,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55934,903000.0,appropriation,"41 year (55934) ................................... 903,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55910,1001500.0,appropriation,"44 year (55910) ................................. 1,001,500",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55910,1001500.0,appropriation,"44 year (55910) ................................. 1,001,500",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55910,1001500.0,appropriation,"44 year (55910) ................................. 1,001,500",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55995,500000.0,appropriation,"47 school year (55995) ............................ 500,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55995,500000.0,appropriation,"47 school year (55995) ............................ 500,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,55995,500000.0,appropriation,"47 school year (55995) ............................ 500,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23338,500000.0,appropriation,"50 year (23338) ................................... 500,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23338,500000.0,appropriation,"50 year (23338) ................................... 500,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23338,500000.0,appropriation,"50 year (23338) ................................... 500,000",297,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,57019,300000.0,appropriation,"2 year (57019) ................................... 300,000",298,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,57019,300000.0,appropriation,"2 year (57019) ................................... 300,000",298,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,57019,300000.0,appropriation,"2 year (57019) ................................... 300,000",298,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23385,150000.0,appropriation,"5 2025-26 school year (23385) .................... 150,000",298,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,23385,150000.0,appropriation,"5 2025-26 school year (23385) .................... 150,000",298,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,23385,150000.0,appropriation,"5 2025-26 school year (23385) .................... 150,000",298,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,23395,150000.0,appropriation,"8 year (23395) ................................... 150,000",298,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23395,150000.0,appropriation,"8 year (23395) ................................... 150,000",298,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23395,150000.0,appropriation,"8 year (23395) ................................... 150,000",298,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,21707,413000000.0,appropriation,"4 credits (21707) ............................ 413,000,000",299,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21707,413000000.0,appropriation,"4 credits (21707) ............................ 413,000,000",299,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21707,413000000.0,appropriation,"4 credits (21707) ............................ 413,000,000",299,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21706,1092000000.0,appropriation,"32 credits (21706) .......................... 1,092,000,000",299,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21706,1092000000.0,appropriation,"32 credits (21706) .......................... 1,092,000,000",299,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21706,1092000000.0,appropriation,"32 credits (21706) .......................... 1,092,000,000",299,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,55938,17180000.0,appropriation,"10 (55938) ..................................... 17,180,000",300,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,55938,17180000.0,appropriation,"10 (55938) ..................................... 17,180,000",300,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,55938,17180000.0,appropriation,"10 (55938) ..................................... 17,180,000",300,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21774,466000.0,appropriation,"17 of the budget (21774) .......................... 466,000",300,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21774,466000.0,appropriation,"17 of the budget (21774) .......................... 466,000",300,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21774,466000.0,appropriation,"17 of the budget (21774) .......................... 466,000",300,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21778,894000.0,appropriation,"25 (21778) ........................................ 894,000",301,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21778,894000.0,appropriation,"25 (21778) ........................................ 894,000",301,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21778,894000.0,appropriation,"25 (21778) ........................................ 894,000",301,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,55939,461000.0,appropriation,"36 (55939) ........................................ 461,000",301,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,55939,461000.0,appropriation,"36 (55939) ........................................ 461,000",301,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,55939,461000.0,appropriation,"36 (55939) ........................................ 461,000",301,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21782,1240000.0,appropriation,"44 (21782) ...................................... 1,240,000",301,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21782,1240000.0,appropriation,"44 (21782) ...................................... 1,240,000",301,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21782,1240000.0,appropriation,"44 (21782) ...................................... 1,240,000",301,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21792,500000.0,appropriation,"48 Albany (21792) ................................. 500,000",301,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21792,500000.0,appropriation,"48 Albany (21792) ................................. 500,000",301,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21792,500000.0,appropriation,"48 Albany (21792) ................................. 500,000",301,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21833,800000.0,appropriation,"4 state fiscal year 2025-26 (21833) .............. 800,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21833,800000.0,appropriation,"4 state fiscal year 2025-26 (21833) .............. 800,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21833,800000.0,appropriation,"4 state fiscal year 2025-26 (21833) .............. 800,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21801,11500000.0,appropriation,"19 (21801) ..................................... 11,500,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21801,11500000.0,appropriation,"19 (21801) ..................................... 11,500,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21801,11500000.0,appropriation,"19 (21801) ..................................... 11,500,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21802,1500000.0,appropriation,"22 education (CWE)(21802) ....................... 1,500,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21802,1500000.0,appropriation,"22 education (CWE)(21802) ....................... 1,500,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21802,1500000.0,appropriation,"22 education (CWE)(21802) ....................... 1,500,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21803,4837000.0,appropriation,"42 ter schools stimulus account (21803) ......... 4,837,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21803,4837000.0,appropriation,"42 ter schools stimulus account (21803) ......... 4,837,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21803,4837000.0,appropriation,"42 ter schools stimulus account (21803) ......... 4,837,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21733,1000000.0,appropriation,"44 Leadership Institute (21733) ................. 1,000,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21733,1000000.0,appropriation,"44 Leadership Institute (21733) ................. 1,000,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,21733,1000000.0,appropriation,"44 Leadership Institute (21733) ................. 1,000,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,23319,500000.0,appropriation,"46 Foundation, Inc. (23319) ....................... 500,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,23319,500000.0,appropriation,"46 Foundation, Inc. (23319) ....................... 500,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,23319,500000.0,appropriation,"46 Foundation, Inc. (23319) ....................... 500,000",302,Enacted appropriation should appear as reappropriation in executive budget,2025
EDUCATION DEPARTMENT,AID TO LOCALITIES,57021,100000.0,appropriation,"20 Children's Center (57021) ...................... 100,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,57021,100000.0,appropriation,"20 Children's Center (57021) ...................... 100,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,57021,100000.0,appropriation,"20 Children's Center (57021) ...................... 100,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23449,1868000.0,appropriation,"28 fiscal year 2010-11 (23449) .................. 1,868,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23449,1868000.0,appropriation,"28 fiscal year 2010-11 (23449) .................. 1,868,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23449,1868000.0,appropriation,"28 fiscal year 2010-11 (23449) .................. 1,868,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23348,300000.0,appropriation,"41 (23348) ........................................ 300,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23348,300000.0,appropriation,"41 (23348) ........................................ 300,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23348,300000.0,appropriation,"41 (23348) ........................................ 300,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,56150,500000.0,appropriation,"43 ty Schools, Incorporated (56150) ............... 500,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,56150,500000.0,appropriation,"43 ty Schools, Incorporated (56150) ............... 500,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,56150,500000.0,appropriation,"43 ty Schools, Incorporated (56150) ............... 500,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23323,750000.0,appropriation,"46 (23323) ........................................ 750,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23323,750000.0,appropriation,"46 (23323) ........................................ 750,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23323,750000.0,appropriation,"46 (23323) ........................................ 750,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23349,1685000.0,appropriation,"48 ers Creative Arts Center (23349) ............. 1,685,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23349,1685000.0,appropriation,"48 ers Creative Arts Center (23349) ............. 1,685,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23349,1685000.0,appropriation,"48 ers Creative Arts Center (23349) ............. 1,685,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23350,250000.0,appropriation,"51 (23350) ........................................ 250,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23350,250000.0,appropriation,"51 (23350) ........................................ 250,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23350,250000.0,appropriation,"51 (23350) ........................................ 250,000",303,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23351,400000.0,appropriation,"2 Inc. (23351) ................................... 400,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23351,400000.0,appropriation,"2 Inc. (23351) ................................... 400,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23351,400000.0,appropriation,"2 Inc. (23351) ................................... 400,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23320,50000.0,appropriation,"4 Latino Teachers Association (23320) ............. 50,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23320,50000.0,appropriation,"4 Latino Teachers Association (23320) ............. 50,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23320,50000.0,appropriation,"4 Latino Teachers Association (23320) ............. 50,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23356,650000.0,appropriation,"6 Inc (23356) .................................... 650,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23356,650000.0,appropriation,"6 Inc (23356) .................................... 650,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23356,650000.0,appropriation,"6 Inc (23356) .................................... 650,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23386,1000000.0,appropriation,"8 Hip Hop Museum (23386) ....................... 1,000,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23386,1000000.0,appropriation,"8 Hip Hop Museum (23386) ....................... 1,000,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23386,1000000.0,appropriation,"8 Hip Hop Museum (23386) ....................... 1,000,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23396,100000.0,appropriation,"10 Museum of African Art, Inc (23396) ............. 100,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23396,100000.0,appropriation,"10 Museum of African Art, Inc (23396) ............. 100,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23396,100000.0,appropriation,"10 Museum of African Art, Inc (23396) ............. 100,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23397,100000.0,appropriation,"12 Jewish History, Inc (23397) .................... 100,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23397,100000.0,appropriation,"12 Jewish History, Inc (23397) .................... 100,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,23397,100000.0,appropriation,"12 Jewish History, Inc (23397) .................... 100,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,57000,150000.0,appropriation,"14 Foundation (57000) ............................. 150,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,57000,150000.0,appropriation,"14 Foundation (57000) ............................. 150,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,57000,150000.0,appropriation,"14 Foundation (57000) ............................. 150,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,57001,500000.0,appropriation,"16 Through Music, Inc (57001) ..................... 500,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
EDUCATION DEPARTMENT,AID TO LOCALITIES,57001,500000.0,appropriation,"16 Through Music, Inc (57001) ..................... 500,000",304,Enacted appropriation should appear as reappropriation in executive budget,2026
